200606,2006-06-11T15:00,Serbia and Montenegro,Netherlands,0,1,C,Zentralstadion,Leipzig
200607,2006-06-11T18:00,Mexico,IR Iran,3,1,D,Franken-Stadion,Nuremberg
200608,2006-06-11T21:00,Angola,Portugal,0,1,D,FIFA World Cup Stadium, Cologne,Cologne
200612,2006-06-12T15:00,Australia,Japan,3,1,F,Fritz-Walter-Stadion,Kaiserslautern
200610,2006-06-12T18:00,USA,Czech Republic,0,3,E,FIFA World Cup Stadium, Gelsenkirchen,Gelsenkirchen
200609,2006-06-12T21:00,Italy,Ghana,2,0,E,FIFA World Cup Stadium, Hanover,Hanover
200614,2006-06-13T15:00,Korea Republic,Togo,2,1,G,FIFA World Cup Stadium, Frankfurt,Frankfurt/Main
200613,2006-06-13T18:00,France,Switzerland,0,0,G,Gottlieb-Daimler-Stadion,Stuttgart
200611,2006-06-13T21:00,Brazil,Croatia,1,0,F,Olympiastadion,Berlin
200615,2006-06-14T15:00,Spain,Ukraine,4,0,H,Zentralstadion,Leipzig
200616,2006-06-14T18:00,Tunisia,Saudi Arabia,2,2,H,FIFA World Cup Stadium, Munich,Munich
200617,2006-06-14T21:00,Germany,Poland,1,0,A,FIFA World Cup Stadium, Dortmund,Dortmund
200618,2006-06-15T15:00,Ecuador,Costa Rica,3,0,A,FIFA World Cup Stadium, Hamburg,Hamburg
200619,2006-06-15T18:00,England,Trinidad and Tobago,2,0,B,Franken-Stadion,Nuremberg
200620,2006-06-15T21:00,Sweden,Paraguay,1,0,B,Olympiastadion,Berlin
200621,2006-06-16T15:00,Argentina,Serbia and Montenegro,6,0,C,FIFA World Cup Stadium, Gelsenkirchen,Gelsenkirchen
200622,2006-06-16T18:00,Netherlands,Côte d'Ivoire,2,1,C,Gottlieb-Daimler-Stadion,Stuttgart
200623,2006-06-16T21:00,Mexico,Angola,0,0,D,FIFA World Cup Stadium, Hanover,Hanover
200624,2006-06-17T15:00,Portugal,IR Iran,2,0,D,FIFA World Cup Stadium, Frankfurt,Frankfurt/Main
200626,2006-06-17T18:00,Czech Republic,Ghana,0,2,E,FIFA World Cup Stadium, Cologne,Cologne
200625,2006-06-17T21:00,Italy,USA,1,1,E,Fritz-Walter-Stadion,Kaiserslautern
200628,2006-06-18T15:00,Japan,Croatia,0,0,F,Franken-Stadion,Nuremberg
200627,2006-06-18T18:00,Brazil,Australia,2,0,F,FIFA World Cup Stadium, Munich,Munich
200629,2006-06-18T21:00,France,Korea Republic,1,1,G,Zentralstadion,Leipzig
200630,2006-06-19T15:00,Togo,Switzerland,0,2,G,FIFA World Cup Stadium, Dortmund,Dortmund
200632,2006-06-19T18:00,Saudi Arabia,Ukraine,0,4,H,FIFA World Cup Stadium, Hamburg,Hamburg
200631,2006-06-19T21:00,Spain,Tunisia,3,1,H,Gottlieb-Daimler-Stadion,Stuttgart
200633,2006-06-20T16:00,Ecuador,Germany,0,3,A,Olympiastadion,Berlin
